elec_demand_CO1,elec_demand_FL1,elec_demand_GC1,elec_demand_GC2,elec_demand_GC3,elec_demand_GC4,elec_demand_ID1,elec_demand_KY1,elec_demand_MT1,elec_demand_NE1,elec_demand_OK1,elec_demand_TX2,elec_demand_WY1,elec_demand_eastern0,elec_demand_eastern1,elec_demand_eastern2,elec_demand_eastern3,elec_demand_eastern4,elec_demand_eastern5,elec_demand_eastern6,elec_demand_western1,elec_demand_western2,elec_demand_western3
11391.0,23686.0,9423.0,13628.0,4194.0,8049.0,3771.0,8350.0,2323.0,5087.0,8365.0,31784.0,3429.0,112338.0,3224.0,28813.0,23296.0,87253.0,50062.0,17900.0,25264.0,58075.0,18058.0
11442.0,24172.0,9638.0,13939.0,4290.0,8170.0,3698.0,8330.0,2306.0,5221.0,8631.0,32510.0,3431.0,114357.0,3269.0,29312.0,23816.0,87705.0,50766.0,18153.0,24597.0,56301.0,17995.0
11531.0,24672.0,9837.0,14225.0,4378.0,8226.0,3702.0,8414.0,2343.0,5200.0,8816.0,33179.0,3425.0,115429.0,3377.0,29862.0,24146.0,88217.0,51490.0,18501.0,24710.0,56616.0,18296.0
11671.0,26625.0,10099.0,14605.0,4495.0,8408.0,3796.0,8590.0,2388.0,5173.0,8919.0,34063.0,3405.0,116725.0,3443.0,30561.0,24615.0,89404.0,52748.0,19359.0,25146.0,57337.0,18744.0
11826.0,28496.0,10413.0,15060.0,4635.0,8682.0,3886.0,8896.0,2467.0,5328.0,9088.0,35125.0,3403.0,116820.0,3576.0,31860.0,25328.0,90373.0,54941.0,19840.0,25734.0,58015.0,18886.0
12233.0,30060.0,10585.0,15308.0,4711.0,9064.0,4040.0,9158.0,2568.0,5464.0,9124.0,35704.0,3495.0,117185.0,3719.0,33049.0,25983.0,90876.0,56672.0,19981.0,26496.0,58489.0,19249.0
12360.0,31087.0,10583.0,15306.0,4711.0,9296.0,4221.0,9355.0,2667.0,5539.0,9084.0,35697.0,3523.0,117039.0,3833.0,33719.0,26235.0,90199.0,58019.0,19593.0,27417.0,61314.0,19264.0
12668.0,31839.0,10525.0,15221.0,4685.0,9434.0,4278.0,9533.0,2718.0,5525.0,8853.0,35501.0,3562.0,116690.0,3878.0,34217.0,26174.0,89800.0,59413.0,19462.0,28170.0,63680.0,19263.0
12509.0,32201.0,10414.0,15061.0,4635.0,9405.0,4311.0,9551.0,2738.0,5487.0,8690.0,35126.0,3564.0,116356.0,3956.0,34513.0,25964.0,88588.0,59873.0,19233.0,28463.0,64457.0,18992.0
11995.0,32265.0,10258.0,14836.0,4566.0,9318.0,4251.0,9553.0,2721.0,5446.0,8548.0,34602.0,3559.0,116495.0,4022.0,34407.0,25590.0,86987.0,59841.0,19019.0,28380.0,63023.0,18660.0
11615.0,31993.0,10180.0,14722.0,4531.0,9201.0,4172.0,9672.0,2679.0,5504.0,8669.0,34338.0,3565.0,119981.0,3951.0,33842.0,25542.0,85735.0,60526.0,19215.0,28133.0,61043.0,18381.0
11546.0,31886.0,10191.0,14738.0,4536.0,9318.0,4066.0,9896.0,2634.0,5803.0,9217.0,34375.0,3577.0,125662.0,3962.0,33955.0,26197.0,85778.0,62214.0,20716.0,27662.0,59870.0,18166.0
11726.0,32653.0,10577.0,15295.0,4707.0,9489.0,3969.0,10352.0,2601.0,5903.0,9693.0,35673.0,3542.0,128585.0,3998.0,35275.0,27025.0,88612.0,65213.0,21989.0,27229.0,58356.0,18152.0
11568.0,34601.0,11227.0,16236.0,4997.0,9904.0,3988.0,10757.0,2644.0,5942.0,9827.0,37868.0,3580.0,128114.0,4213.0,37108.0,28061.0,92207.0,66249.0,21947.0,27176.0,58030.0,18431.0
12175.0,33763.0,11352.0,16418.0,5053.0,10286.0,4244.0,10764.0,2763.0,5861.0,9890.0,38293.0,3679.0,127522.0,4160.0,36929.0,28534.0,92010.0,65843.0,21563.0,28252.0,59774.0,19356.0
12322.0,32334.0,11404.0,16493.0,5076.0,10383.0,4399.0,10708.0,2785.0,5743.0,9860.0,38467.0,3730.0,124628.0,4145.0,36646.0,28665.0,90940.0,65256.0,20781.0,29546.0,64507.0,20112.0
12480.0,30806.0,11354.0,16420.0,5054.0,10264.0,4426.0,10507.0,2779.0,5595.0,9712.0,38299.0,3722.0,120815.0,4116.0,35813.0,28347.0,89720.0,63729.0,19669.0,29403.0,65483.0,20042.0
12361.0,28936.0,11143.0,16115.0,4959.0,10078.0,4386.0,10224.0,2718.0,5433.0,9467.0,37585.0,3685.0,116379.0,3965.0,34934.0,27705.0,88605.0,61815.0,18460.0,29224.0,65167.0,19745.0
12161.0,26862.0,10898.0,15761.0,4851.0,9812.0,4270.0,9947.0,2654.0,5370.0,9251.0,36758.0,3626.0,112900.0,3832.0,33949.0,27085.0,87171.0,60080.0,17380.0,28610.0,64091.0,19287.0
11828.0,26016.0,10692.0,15463.0,4759.0,9609.0,4119.0,10155.0,2553.0,5328.0,9125.0,36062.0,3536.0,117323.0,3729.0,32952.0,26508.0,88738.0,59802.0,17686.0,27777.0,62582.0,18671.0
11548.0,26038.0,11005.0,15914.0,4898.0,9901.0,3907.0,10441.0,2471.0,5571.0,9571.0,37118.0,3450.0,119343.0,3791.0,34093.0,27597.0,89745.0,60997.0,17728.0,26500.0,60568.0,18129.0
12154.0,25309.0,11251.0,16271.0,5007.0,10087.0,3837.0,10463.0,2526.0,5703.0,9887.0,37951.0,3533.0,119490.0,3881.0,34519.0,28394.0,89483.0,61574.0,17316.0,25540.0,59062.0,18406.0
12497.0,24196.0,11365.0,16436.0,5058.0,10134.0,3951.0,10333.0,2561.0,5744.0,9958.0,38334.0,3595.0,117052.0,3861.0,34247.0,28643.0,87308.0,60675.0,16251.0,26080.0,62353.0,18783.0
12571.0,23829.0,11291.0,16328.0,5025.0,9900.0,3951.0,10303.0,2521.0,5735.0,9905.0,38081.0,3662.0,120904.0,3760.0,33070.0,28072.0,87819.0,59861.0,16544.0,26155.0,63199.0,18905.0
12083.0,24479.0,11703.0,16924.0,5209.0,10215.0,3920.0,10681.0,2414.0,5875.0,10374.0,39474.0,3539.0,125838.0,3764.0,33350.0,28950.0,90312.0,61314.0,17308.0,25900.0,61728.0,18525.0
12211.0,25841.0,12270.0,17744.0,5460.0,10713.0,3832.0,11126.0,2442.0,6055.0,10661.0,41384.0,3560.0,130046.0,3855.0,34379.0,30094.0,94185.0,63264.0,18390.0,25354.0,58955.0,18434.0
12401.0,26402.0,12612.0,18238.0,5613.0,11078.0,3936.0,11397.0,2500.0,6125.0,10785.0,42538.0,3543.0,132184.0,3929.0,35818.0,30835.0,96653.0,65155.0,19165.0,25981.0,59983.0,18898.0
12738.0,28502.0,12710.0,18380.0,5657.0,11291.0,4083.0,11773.0,2605.0,6169.0,10796.0,42868.0,3580.0,136914.0,4065.0,36874.0,31259.0,99427.0,67327.0,20395.0,26853.0,62023.0,19404.0
12518.0,31275.0,12787.0,18493.0,5691.0,11597.0,4311.0,12306.0,2715.0,6277.0,11195.0,43134.0,3557.0,141978.0,4227.0,38230.0,31987.0,102664.0,70163.0,21665.0,28008.0,63600.0,19577.0
12911.0,33361.0,12758.0,18451.0,5678.0,11839.0,4453.0,12832.0,2804.0,6372.0,11367.0,43031.0,3671.0,145870.0,4351.0,39480.0,32607.0,105574.0,72835.0,22921.0,28760.0,64736.0,19874.0
13319.0,34529.0,12598.0,18219.0,5607.0,11892.0,4638.0,13104.0,2897.0,6295.0,11240.0,42493.0,3736.0,147009.0,4380.0,40590.0,32951.0,106258.0,74711.0,23466.0,29742.0,66909.0,20276.0
13217.0,34948.0,12377.0,17899.0,5509.0,11762.0,4771.0,13237.0,2982.0,6230.0,11033.0,41749.0,3798.0,146892.0,4423.0,40902.0,32867.0,104936.0,75430.0,23251.0,30978.0,69157.0,20644.0
12935.0,34573.0,12044.0,17417.0,5361.0,11453.0,4909.0,13211.0,3010.0,6127.0,10755.0,40622.0,3804.0,146255.0,4423.0,40706.0,32136.0,103031.0,74920.0,23220.0,31826.0,71594.0,20686.0
12362.0,34214.0,11727.0,16960.0,5220.0,11175.0,4834.0,13200.0,3003.0,6120.0,10598.0,39557.0,3792.0,146660.0,4335.0,40198.0,31338.0,101162.0,74393.0,23089.0,32085.0,71381.0,20466.0
11808.0,34132.0,11531.0,16676.0,5132.0,10977.0,4688.0,13343.0,2912.0,6193.0,10648.0,38891.0,3755.0,149680.0,4288.0,39815.0,31078.0,100151.0,74468.0,23533.0,31565.0,69152.0,20201.0
11529.0,34509.0,11576.0,16741.0,5152.0,10998.0,4578.0,13726.0,2860.0,6490.0,11285.0,39043.0,3742.0,156835.0,4321.0,39852.0,31571.0,101649.0,75827.0,24764.0,30985.0,67292.0,20004.0
11468.0,36949.0,12078.0,17466.0,5376.0,11367.0,4504.0,14145.0,2814.0,6600.0,11805.0,40736.0,3753.0,159951.0,4379.0,41166.0,32665.0,108203.0,78115.0,26131.0,30489.0,66289.0,20091.0
11726.0,40103.0,12799.0,18510.0,5697.0,12107.0,4531.0,14400.0,2863.0,6551.0,11997.0,43172.0,3797.0,160928.0,4614.0,43268.0,33792.0,114724.0,79873.0,26571.0,30621.0,66225.0,20346.0
12357.0,40330.0,13041.0,18860.0,5805.0,12740.0,4737.0,14399.0,2933.0,6540.0,12087.0,43988.0,3870.0,159722.0,4672.0,43633.0,34479.0,116595.0,80063.0,26183.0,31568.0,67754.0,21212.0
12579.0,39448.0,13200.0,19090.0,5875.0,12876.0,4809.0,14134.0,2983.0,6473.0,11890.0,44524.0,3907.0,155722.0,4643.0,43397.0,34572.0,116746.0,78891.0,25315.0,32268.0,72146.0,22044.0
12607.0,37870.0,13134.0,18996.0,5846.0,12757.0,4776.0,13753.0,2933.0,6275.0,11620.0,44303.0,3882.0,149764.0,4527.0,42550.0,33912.0,115455.0,77355.0,24068.0,32234.0,74045.0,22020.0
12602.0,35735.0,12835.0,18562.0,5713.0,12551.0,4672.0,13268.0,2876.0,6046.0,11203.0,43294.0,3860.0,143489.0,4480.0,41212.0,32979.0,113360.0,74769.0,22509.0,31746.0,73709.0,21627.0
12266.0,33309.0,12498.0,18075.0,5563.0,12155.0,4554.0,12868.0,2763.0,5944.0,10961.0,42156.0,3759.0,138913.0,4263.0,39534.0,32032.0,111624.0,72565.0,21140.0,30638.0,71957.0,21047.0
11736.0,31796.0,12337.0,17841.0,5491.0,11762.0,4317.0,12540.0,2611.0,5804.0,10770.0,41611.0,3657.0,136428.0,4101.0,38559.0,31341.0,109935.0,70885.0,20557.0,29235.0,69442.0,20245.0
11165.0,31237.0,12178.0,17611.0,5420.0,11591.0,4050.0,12448.0,2467.0,5743.0,10661.0,41075.0,3515.0,137932.0,3844.0,37325.0,30890.0,110052.0,70049.0,20608.0,27542.0,65881.0,19401.0
10881.0,31185.0,12419.0,17961.0,5527.0,11808.0,3854.0,12524.0,2377.0,5837.0,10946.0,41890.0,3430.0,137820.0,3886.0,37580.0,31531.0,110285.0,70817.0,20536.0,25919.0,62625.0,18881.0
11073.0,30747.0,12678.0,18335.0,5643.0,11930.0,3754.0,12352.0,2351.0,5885.0,11120.0,42763.0,3504.0,136384.0,3837.0,37453.0,31973.0,109146.0,70384.0,19847.0,24964.0,60447.0,18748.0
11052.0,31513.0,12788.0,18495.0,5692.0,11887.0,3785.0,12484.0,2390.0,5918.0,11475.0,43137.0,3544.0,142440.0,3833.0,36697.0,32069.0,110300.0,70201.0,20508.0,24978.0,60762.0,18864.0
10730.0,34266.0,13488.0,19506.0,6003.0,12396.0,3777.0,13142.0,2351.0,6244.0,12213.0,45495.0,3460.0,152212.0,3884.0,37159.0,33550.0,114856.0,72350.0,21949.0,24728.0,59454.0,18719.0
10904.0,38369.0,14560.0,21057.0,6480.0,13128.0,3770.0,13846.0,2349.0,6426.0,12495.0,49111.0,3455.0,158714.0,3954.0,38922.0,35308.0,121215.0,76198.0,24175.0,24318.0,57541.0,18943.0
11205.0,40555.0,14875.0,21513.0,6621.0,13752.0,3911.0,14147.0,2446.0,6437.0,12344.0,50176.0,3513.0,159897.0,4266.0,41709.0,36065.0,124306.0,79062.0,25691.0,25056.0,58813.0,19690.0
11570.0,41529.0,14634.0,21164.0,6513.0,13956.0,4223.0,14240.0,2586.0,6402.0,12069.0,49363.0,3590.0,162523.0,4366.0,42816.0,35996.0,124673.0,80001.0,26076.0,26642.0,61892.0,20580.0
11728.0,42244.0,14311.0,20696.0,6370.0,13878.0,4543.0,14318.0,2714.0,6412.0,12081.0,48272.0,3593.0,165135.0,4315.0,42951.0,35632.0,124521.0,80116.0,26473.0,28781.0,65134.0,20836.0
11943.0,42739.0,13765.0,19907.0,6127.0,13511.0,4676.0,14335.0,2773.0,6402.0,11820.0,46429.0,3684.0,167604.0,4342.0,42866.0,35228.0,125122.0,80163.0,26848.0,29661.0,66814.0,20724.0
11970.0,42407.0,13225.0,19125.0,5886.0,13047.0,4726.0,14214.0,2781.0,6406.0,11537.0,44607.0,3667.0,168655.0,4321.0,42980.0,34624.0,123573.0,79798.0,27275.0,29765.0,67919.0,20818.0
12330.0,41318.0,12730.0,18410.0,5666.0,12556.0,4751.0,14019.0,2817.0,6389.0,11118.0,42937.0,3744.0,167770.0,4337.0,42513.0,33704.0,120797.0,78599.0,27174.0,29795.0,69585.0,20793.0
12229.0,40252.0,12223.0,17676.0,5440.0,12120.0,4742.0,13885.0,2794.0,6230.0,10642.0,41227.0,3734.0,166735.0,4300.0,41831.0,32406.0,118156.0,77416.0,27163.0,29932.0,71439.0,20711.0
11883.0,39144.0,11918.0,17235.0,5304.0,11629.0,4610.0,13649.0,2707.0,6111.0,10301.0,40197.0,3700.0,167434.0,4198.0,41123.0,31335.0,115653.0,75617.0,27295.0,29817.0,71153.0,20393.0
11630.0,38667.0,11710.0,16935.0,5212.0,11366.0,4493.0,13462.0,2671.0,6087.0,10276.0,39495.0,3688.0,170134.0,4169.0,40366.0,30735.0,114140.0,74337.0,28085.0,29577.0,69070.0,20107.0
11525.0,39850.0,11696.0,16914.0,5205.0,11417.0,4346.0,13730.0,2634.0,6251.0,10687.0,39448.0,3675.0,177784.0,4166.0,40010.0,31130.0,115578.0,75071.0,29585.0,29198.0,67980.0,19876.0
11473.0,44151.0,12130.0,17542.0,5399.0,11766.0,4260.0,14220.0,2619.0,6298.0,11206.0,40913.0,3667.0,181029.0,4139.0,40464.0,31935.0,121229.0,77484.0,31324.0,28815.0,66824.0,19840.0
